Mutation number,fwn,arg,pyr,leu,phe,lys,oli,crn,Relative W
0,0,0,0,0,0,0,0,0,1
1,1,0,0,0,0,0,0,0,0.751
1,0,1,0,0,0,0,0,0,0.773
1,0,0,1,0,0,0,0,0,0.698
1,0,0,0,1,0,0,0,0,0.757
1,0,0,0,0,1,0,0,0,0.826
1,0,0,0,0,0,1,0,0,m
1,0,0,0,0,0,0,1,0,0.598
1,0,0,0,0,0,0,0,1,0.628
2,1,1,0,0,0,0,0,0,0.83
2,1,0,1,0,0,0,0,0,0.765
2,1,0,0,1,0,0,0,0,0.83
2,1,0,0,0,1,0,0,0,0.973
2,1,0,0,0,0,1,0,0,0.747
2,1,0,0,0,0,0,1,0,0.717
2,1,0,0,0,0,0,0,1,0.896
2,0,1,1,0,0,0,0,0,0.748
2,0,1,0,1,0,0,0,0,0.73
2,0,1,0,0,1,0,0,0,0.853
2,0,1,0,0,0,1,0,0,m
2,0,1,0,0,0,0,1,0,0.598
2,0,1,0,0,0,0,0,1,0.762
2,0,0,1,1,0,0,0,0,0.666
2,0,0,1,0,1,0,0,0,0.726
2,0,0,1,0,0,1,0,0,0.722
2,0,0,1,0,0,0,1,0,0.512
2,0,0,1,0,0,0,0,1,0.719
2,0,0,0,1,1,0,0,0,0.731
2,0,0,0,1,0,1,0,0,0.726
2,0,0,0,1,0,0,1,0,0.604
2,0,0,0,1,0,0,0,1,0.672
2,0,0,0,0,1,1,0,0,0.649
2,0,0,0,0,1,0,1,0,0.616
2,0,0,0,0,1,0,0,1,m
2,0,0,0,0,0,1,1,0,m
2,0,0,0,0,0,1,0,1,0.829
2,0,0,0,0,0,0,1,1,0.945
3,1,1,1,0,0,0,0,0,0.783
3,1,1,0,1,0,0,0,0,m
3,1,1,0,0,1,0,0,0,0.75
3,1,1,0,0,0,1,0,0,0.724
3,1,1,0,0,0,0,1,0,0.543
3,1,1,0,0,0,0,0,1,0.814
3,1,0,1,1,0,0,0,0,0.576
3,1,0,1,0,1,0,0,0,0.636
3,1,0,1,0,0,1,0,0,0.768
3,1,0,1,0,0,0,1,0,0.516
3,1,0,1,0,0,0,0,1,0.825
3,1,0,0,1,1,0,0,0,0.735
3,1,0,0,1,0,1,0,0,m
3,1,0,0,1,0,0,1,0,0.522
3,1,0,0,1,0,0,0,1,0.706
3,1,0,0,0,1,1,0,0,0.706
3,1,0,0,0,1,0,1,0,0.468
3,1,0,0,0,1,0,0,1,0.845
3,1,0,0,0,0,1,1,0,m
3,1,0,0,0,0,1,0,1,0.748
3,1,0,0,0,0,0,1,1,0.738
3,0,1,1,1,0,0,0,0,0.667
3,0,1,1,0,1,0,0,0,0.772
3,0,1,1,0,0,1,0,0,m
3,0,1,1,0,0,0,1,0,0.559
3,0,1,1,0,0,0,0,1,0.692
3,0,1,0,1,1,0,0,0,0.887
3,0,1,0,1,0,1,0,0,m
3,0,1,0,1,0,0,1,0,0.562
3,0,1,0,1,0,0,0,1,0.627
3,0,1,0,0,1,1,0,0,m
3,0,1,0,0,1,0,1,0,0.633
3,0,1,0,0,1,0,0,1,0.777
3,0,1,0,0,0,1,1,0,0.457
3,0,1,0,0,0,1,0,1,0.824
3,0,1,0,0,0,0,1,1,0.567
3,0,0,1,1,1,0,0,0,0.736
3,0,0,1,1,0,1,0,0,0.738
